Token                          Frequency
-----------------------------  ---------
technique                              1
to                                     3
physical                               2
appearance                             1
narrative                              1
investigator                           1
particular                             1
by                                     1
type                                   1
whether                                1
descriptions                           1
of                                     3
event                                  1
describe                               1
key                                    1
be                                     2
presented                              1
information                            2
asking                                 1
however                                1
such                                   1
or                                     2
he                                     1
knows                                  1
not                                    1
particularly                           1
crime                                  1
often                                  2
linking                                1
will                                   1
ask                                    1
this                                   1
phase                                  1
can                                    2
specific                               1
clothing                               1
about                                  1
way                                    1
effective                              1
witness                                3
was                                    1
during                                 1
reminded                               1
suspect                                5
with                                   1
is                                     1
elicit                                 1
walked                                 1
a                                      5
wearing                                1
as                                     1
the                                   11
additional                             2
looked                                 1
interview                              1
anyone                                 1

Totals:                     56        87
