Token                          Frequency
-----------------------------  ---------
theft                                  1
to                                     2
transactions                           1
misapplication                         1
§§                                     1
u.s                                    1
18                                     1
by                                     2
fraud                                  2
$1                                     1
violations                             1
cover                                  1
sections                               1
title                                  1
are                                    1
officer                                1
and/or                                 1
2011                                   1
embezzlement                           1
bank                                   1
1.946                                  1
employee                               1
institution                            1
these                                  1
financial                              2
million                                1
657                                    1
or                                     2
a                                      1
code                                   1
in                                     1
656                                    1
and                                    1
up                                     2
manual                                 1
prison                                 1
punishable                             1
30                                     1
fined                                  1
examiners                              1
years                                  1

Totals:                     41        47
