Token                          Frequency
-----------------------------  ---------
to                                     2
solidly                                1
they                                   2
americans                              1
but                                    2
single                                 1
appear                                 1
for                                    1
respects                               1
middle                                 3
people                                 1
been                                   1
though                                 1
authors                                1
of                                     7
are                                    4
more                                   2
unlike                                 1
commit                                 1
social                                 3
crimes                                 1
commonplace                            1
structure.9                            1
white-collar                           1
status                                 2
likely                                 1
respectability                         1
elite                                  1
convicted                              1
far                                    1
organized                              1
class                                  3
offenders                              2
much                                   1
disarray                               1
and                                    1
not                                    1
that                                   3
corporate                              1
often                                  1
crime                                  2
them                                   2
than                                   1
quality                                1
lives                                  1
say                                    1
distinguishes                          1
perhaps                                1
some                                   2
other                                  1
have                                   1
broad                                  1
state                                  1
line                                   1
most                                   3
from                                   3
upper                                  1
fit                                    1
personal                               1
federal                                1
poverty                                1
stereotype                             1
american                               1
highly                                 1
above                                  1
do                                     1
members                                1
mostly                                 1
is                                     1
with                                   1
society                                1
a                                      2
moderate                               1
the                                   10
in                                     4
represent                              1
10                                     1
fact                                   1
within                                 1
high                                   1
part                                   1
standing                               1
average                                1
very                                   1

Totals:                     84       127
