Token                          Frequency
police                                 1
irresponsibility                       1
toward                                 1
three                                  1
linked                                 1
rationalization                        9
connection                             1
nervous                                1
status                                 7
expressed                              1
repayment                              1
class                                  1
property                               1
offenders                              4
lack                                   1
comes                                  1
himself                                4
even                                   2
ever                                   1
exposure                               2
other                                  4
have                                   3
feared                                 1
one                                    4
dishonest                              1
because                                8
order                                  1
isolation                              1
borrowings                             2
attempts                               2
intelligible                           1
perpetrator                            3
with                                   9
can’t                                  1
matter                                 1
tense                                  1
the                                   94
families                               1
gambling                               1
begin                                  1
manual                                 4
94–95                                  1
continue                               1
special                                1
claimed                                1
significantly                          1
group                                  6
their                                 28
first                                  4
clients                                1

Totals:                    528      1489
